Congress,Name,District,Party,State,ImageUrl,Term
119,"Hurd, Jeff",3.0,Republican,Colorado,https://www.congress.gov/img/member/67742c5e0b34857ecc9090d1_200.jpg,House of Representatives: 2025
119,"Evans, Gabe",8.0,Republican,Colorado,https://www.congress.gov/img/member/677425730b34857ecc909083_200.jpg,House of Representatives: 2025
119,"Crank, Jeff",5.0,Republican,Colorado,https://www.congress.gov/img/member/677424810b34857ecc909071_200.jpg,House of Representatives: 2025
119,"Pettersen, Brittany",7.0,Democratic,Colorado,https://www.congress.gov/img/member/p000620_200.jpg,House of Representatives: 2023
119,"Kamlager-Dove, Sydney",37.0,Democratic,California,https://www.congress.gov/img/member/k000400_200.jpg,House of Representatives: 2023
119,"Garcia, Robert",42.0,Democratic,California,https://www.congress.gov/img/member/g000598_200.jpg,House of Representatives: 2023
119,"Kim, Young",40.0,Republican,California,https://www.congress.gov/img/member/k000397_200.jpg,House of Representatives: 2021
119,"Jacobs, Sara",51.0,Democratic,California,https://www.congress.gov/img/member/j000305_200.jpg,House of Representatives: 2021
119,"Hayes, Jahana",5.0,Democratic,Connecticut,https://www.congress.gov/img/member/h001081_200.jpg,House of Representatives: 2019
119,"Correa, J. Luis",46.0,Democratic,California,https://www.congress.gov/img/member/115_rp_ca_46_correa_j_200.jpg,House of Representatives: 2017
119,"Peters, Scott H.",50.0,Democratic,California,https://www.congress.gov/img/member/p000608_200.jpg,House of Representatives: 2013
119,"Vargas, Juan",52.0,Democratic,California,https://www.congress.gov/img/member/v000130_200.jpg,House of Representatives: 2013
119,"Sánchez, Linda T.",38.0,Democratic,California,https://www.congress.gov/img/member/116_rp_ca_38_snchez_linda_200.jpg,House of Representatives: 2003
119,"Whitesides, George",27.0,Democratic,California,https://www.congress.gov/img/member/677461d40b34857ecc9091bb_200.jpg,House of Representatives: 2025
119,"Simon, Lateefah",12.0,Democratic,California,https://www.congress.gov/img/member/67745f940b34857ecc909197_200.jpg,House of Representatives: 2025
119,"Rivas, Luz",29.0,Democratic,California,https://www.congress.gov/img/member/67745d860b34857ecc90916d_200.jpg,House of Representatives: 2025
119,"Liccardo, Sam",16.0,Democratic,California,https://www.congress.gov/img/member/6774305d0b34857ecc90910d_200.jpg,House of Representatives: 2025
119,"Gray, Adam",13.0,Democratic,California,https://www.congress.gov/img/member/67742a160b34857ecc9090bf_200.jpg,House of Representatives: 2025
119,"Friedman, Laura",30.0,Democratic,California,https://www.congress.gov/img/member/677427070b34857ecc9090a1_200.jpg,House of Representatives: 2025
119,"Fong, Vince",20.0,Republican,California,https://www.congress.gov/img/member/669ff04f5d19788d1f2034aa_200.jpg,House of Representatives: 2024
119,"Obernolte, Jay",23.0,Republican,California,https://www.congress.gov/img/member/o000019_200.jpg,House of Representatives: 2021
119,"Cisneros, Gilbert Ray, Jr.",31.0,Democratic,California,https://www.congress.gov/img/member/677423d00b34857ecc909065_200.jpg,"House of Representatives: 2019 - 2021
House of Representatives: 2025"
119,"Panetta, Jimmy",19.0,Democratic,California,https://www.congress.gov/img/member/116_rp_ca_20_panetta_jimmy_200.jpg,House of Representatives: 2017
119,"Hamadeh, Abraham",8.0,Republican,Arizona,https://www.congress.gov/img/member/67742a6f0b34857ecc9090c5_200.jpg,House of Representatives: 2025
119,"Figures, Shomari",2.0,Democratic,Alabama,https://www.congress.gov/img/member/677426790b34857ecc909095_200.jpg,House of Representatives: 2025
119,"Begich, Nicholas",0.0,Republican,Alaska,https://www.congress.gov/img/member/6774217e0b34857ecc909040_200.jpg,House of Representatives: 2025
119,"Ansari, Yassamin",3.0,Democratic,Arizona,https://www.congress.gov/img/member/67741fc30b34857ecc90902e_200.jpg,House of Representatives: 2025
119,"Strong, Dale W.",5.0,Republican,Alabama,https://www.congress.gov/img/member/s001220_200.jpg,House of Representatives: 2023
119,"Kiley, Kevin",3.0,Republican,California,https://www.congress.gov/img/member/k000401_200.jpg,House of Representatives: 2023
119,"Crane, Elijah",2.0,Republican,Arizona,https://www.congress.gov/img/member/c001132_200.jpg,House of Representatives: 2023
119,"Ciscomani, Juan",6.0,Republican,Arizona,https://www.congress.gov/img/member/c001133_200.jpg,House of Representatives: 2023
119,"Moore, Barry",1.0,Republican,Alabama,https://www.congress.gov/img/member/m001212_200.jpg,House of Representatives: 2021
119,"Biggs, Andy",5.0,Republican,Arizona,https://www.congress.gov/img/member/b001302_200.jpg,House of Representatives: 2017
119,"DeSaulnier, Mark",10.0,Democratic,California,https://www.congress.gov/img/member/115_rp_ca_11_desaulnier_mark_200.jpg,House of Representatives: 2015
119,"Huffman, Jared",2.0,Democratic,California,https://www.congress.gov/img/member/h001068_200.jpg,House of Representatives: 2013
119,"Garamendi, John",8.0,Democratic,California,https://www.congress.gov/img/member/g000559_200.jpg,House of Representatives: 2009
119,"Schweikert, David",1.0,Republican,Arizona,https://www.congress.gov/img/member/s001183_200.jpg,House of Representatives: 2011
119,"Matsui, Doris O.",7.0,Democratic,California,https://www.congress.gov/img/member/m001163_200.jpg,House of Representatives: 2005
119,"Aderholt, Robert B.",4.0,Republican,Alabama,https://www.congress.gov/img/member/a000055_200.jpg,House of Representatives: 1997
119,"Bera, Ami",6.0,Democratic,California,https://www.congress.gov/img/member/b001287_200.jpg,House of Representatives: 2013
119,"Huizenga, Bill",4.0,Republican,Michigan,https://www.congress.gov/img/member/h001058_200.jpg,House of Representatives: 2011
119,"Rubio, Marco",,Republican,Florida,https://www.congress.gov/img/member/r000595_200.jpg,Senate: 2011 - 2025
119,"Justice, James C.",,Republican,West Virginia,N/A,Senate: 2025
119,"Auchincloss, Jake",4.0,Democratic,Massachusetts,https://www.congress.gov/img/member/67817e391f9ad6ea6fb1ebda_200.jpg,House of Representatives: 2021
119,"Simpson, Michael K.",2.0,Republican,Idaho,https://www.congress.gov/img/member/678152c81f9ad6ea6fb1eb7f_200.jpg,House of Representatives: 1999
119,"Vance, J. D.",,Republican,Ohio,https://www.congress.gov/img/member/v000137_200.jpg,Senate: 2023 - 2025
119,"Perry, Scott",10.0,Republican,Pennsylvania,https://www.congress.gov/img/member/677ec7d3514c773869b6b915_200.jpg,House of Representatives: 2013
119,"Van Duyne, Beth",24.0,Republican,Texas,https://www.congress.gov/img/member/677461060b34857ecc9091af_200.jpg,House of Representatives: 2021
119,"Meuser, Daniel",9.0,Republican,Pennsylvania,https://www.congress.gov/img/member/6776ebbf4f8a93753830ca7d_200.jpg,House of Representatives: 2019
119,"Slotkin, Elissa",,Democratic,Michigan,https://www.congress.gov/img/member/s001208_200.jpg,"House of Representatives: 2019 - 2025
Senate: 2025"
119,"Sheehy, Tim",,Republican,Montana,N/A,Senate: 2025
119,"Moreno, Bernie",,Republican,Ohio,N/A,Senate: 2025
119,"McCormick, David",,Republican,Pennsylvania,N/A,Senate: 2025
119,"Gallego, Ruben",,Democratic,Arizona,https://www.congress.gov/img/member/g000574_200.jpg,"House of Representatives: 2015 - 2025
Senate: 2025"
