LastName,Name,State,District,Party,Term,ImageUrl
Haridopolos,"Haridopolos, Mike",Florida,8.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67742ab50b34857ecc9090cb_200.jpg
Moylan,"Moylan, James C.",Guam,,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/m001219_200.jpg
Moskowitz,"Moskowitz, Jared",Florida,23.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/m001217_200.jpg
Mills,"Mills, Cory",Florida,7.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/m001216_200.jpg
McCormick,"McCormick, Richard",Georgia,7.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/m001218_200.jpg
Luna,"Luna, Anna Paulina",Florida,13.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/l000596_200.jpg
Lee,"Lee, Laurel M.",Florida,15.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/l000597_200.jpg
Collins,"Collins, Mike",Georgia,10.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/c001129_200.jpg
Bean,"Bean, Aaron",Florida,4.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/b001314_200.jpg
Cherfilus-McCormick,"Cherfilus-McCormick, Sheila",Florida,20.0,Democratic,House of Representatives: 2022,https://www.congress.gov/img/member/c001127_200.jpg
Greene,"Greene, Marjorie Taylor",Georgia,14.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/g000596_200.jpg
Franklin,"Franklin, Scott",Florida,18.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/f000472_200.jpg
Donalds,"Donalds, Byron",Florida,19.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/d000032_200.jpg
Buchanan,"Buchanan, Vern",Florida,16.0,Republican,House of Representatives: 2007,https://www.congress.gov/img/member/b001260_200.jpg
Castor,"Castor, Kathy",Florida,14.0,Democratic,House of Representatives: 2007,https://www.congress.gov/img/member/c001066_200.jpg
Tran,"Tran, Derek",California,45.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/6774606d0b34857ecc9091a9_200.jpg
Min,"Min, Dave",California,47.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/67744ed90b34857ecc909155_200.jpg
Hurd,"Hurd, Jeff",Colorado,3.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67742c5e0b34857ecc9090d1_200.jpg
Evans,"Evans, Gabe",Colorado,8.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/677425730b34857ecc909083_200.jpg
Crank,"Crank, Jeff",Colorado,5.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/677424810b34857ecc909071_200.jpg
Pettersen,"Pettersen, Brittany",Colorado,7.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/p000620_200.jpg
Kamlager-Dove,"Kamlager-Dove, Sydney",California,37.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/k000400_200.jpg
Garcia,"Garcia, Robert",California,42.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/g000598_200.jpg
Kim,"Kim, Young",California,40.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/k000397_200.jpg
Jacobs,"Jacobs, Sara",California,51.0,Democratic,House of Representatives: 2021,https://www.congress.gov/img/member/j000305_200.jpg
Hayes,"Hayes, Jahana",Connecticut,5.0,Democratic,House of Representatives: 2019,https://www.congress.gov/img/member/h001081_200.jpg
Correa,"Correa, J. Luis",California,46.0,Democratic,House of Representatives: 2017,https://www.congress.gov/img/member/115_rp_ca_46_correa_j_200.jpg
Peters,"Peters, Scott H.",California,50.0,Democratic,House of Representatives: 2013,https://www.congress.gov/img/member/p000608_200.jpg
Vargas,"Vargas, Juan",California,52.0,Democratic,House of Representatives: 2013,https://www.congress.gov/img/member/v000130_200.jpg
Sánchez,"Sánchez, Linda T.",California,38.0,Democratic,House of Representatives: 2003,https://www.congress.gov/img/member/116_rp_ca_38_snchez_linda_200.jpg
Whitesides,"Whitesides, George",California,27.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/677461d40b34857ecc9091bb_200.jpg
Simon,"Simon, Lateefah",California,12.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/67745f940b34857ecc909197_200.jpg
Rivas,"Rivas, Luz",California,29.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/67745d860b34857ecc90916d_200.jpg
Liccardo,"Liccardo, Sam",California,16.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/6774305d0b34857ecc90910d_200.jpg
Gray,"Gray, Adam",California,13.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/67742a160b34857ecc9090bf_200.jpg
Friedman,"Friedman, Laura",California,30.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/677427070b34857ecc9090a1_200.jpg
Fong,"Fong, Vince",California,20.0,Republican,House of Representatives: 2024,https://www.congress.gov/img/member/669ff04f5d19788d1f2034aa_200.jpg
Obernolte,"Obernolte, Jay",California,23.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/o000019_200.jpg
Cisneros,"Cisneros, Gilbert Ray, Jr.",California,31.0,Democratic,"House of Representatives: 2019 - 2021
House of Representatives: 2025",https://www.congress.gov/img/member/677423d00b34857ecc909065_200.jpg
Panetta,"Panetta, Jimmy",California,19.0,Democratic,House of Representatives: 2017,https://www.congress.gov/img/member/116_rp_ca_20_panetta_jimmy_200.jpg
Hamadeh,"Hamadeh, Abraham",Arizona,8.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67742a6f0b34857ecc9090c5_200.jpg
Figures,"Figures, Shomari",Alabama,2.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/677426790b34857ecc909095_200.jpg
Begich,"Begich, Nicholas",Alaska,0.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/6774217e0b34857ecc909040_200.jpg
Ansari,"Ansari, Yassamin",Arizona,3.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/67741fc30b34857ecc90902e_200.jpg
